Simplified,Unicode (Simp.),Traditional,Unicode (Trad.),Pinyin,HSK Grade,JD Rank,JD Frequency,JD Percentile
任,20219,任,20219,rèn/rén/lìn,4,186,212485,54.28391415
何,20309,何,20309,hé/hè,4,229,184335,58.64057924
扔,25172,扔,25172,rēng,4,1905,8045,96.75507875
仍,20173,仍,20173,réng,4,601,67490,79.67165416
入,20837,入,20837,rù,4,210,192433,56.79129361
散,25955,散,25955,sàn/sǎn/sān,4,866,39336,86.70545901
森,26862,森,26862,sēn,4,1029,29533,89.59585377
林,26519,林,26519,lín,4,364,117675,68.91976837
沙,27801,沙,27801,shā/shà/suō,4,848,40573,86.33363727
伤,20260,傷,20663,shāng,4,660,59632,81.6082434
量,37327,量,37327,liàng/liang/liáng,4,241,180008,59.7686292
稍,31245,稍,31245,shāo/shào,4,1373,16855,93.55781232
微,24494,微,24494,wēi,4,653,60484,81.39092233
勺,21242,勺,21242,sháo/shuò/zhuó/dì,4,3275,1357,99.40552191
社,31038,社,31038,shè,4,270,159527,62.3115459
申,30003,申,30003,shēn,4,1110,25531,90.74030442
深,28145,深,28145,shēn,4,401,105924,71.05909346
甚,29978,甚,29978,shén/shèn,4,626,64438,80.52162876
至,33267,至,33267,zhì/dié,4,267,163582,62.06115627
命,21629,命,21629,mìng,4,258,168358,61.28928703
省,30465,省,30465,shěng,4,666,58642,81.79090472
剩,21097,剩,21097,shèng,4,1446,14996,94.1506119
失,22833,失,22833,shī/yì,4,375,115346,69.5806947
败,36133,敗,25943,bài,4,862,39627,86.62385501
傅,20613,傅,20613,fu/fù/fū,4,1887,8256,96.67943743
纪,32426,紀,32000,jì/jǐ,4,584,69045,79.07163819
收,25910,收,25910,shōu,4,351,120897,68.11688479
拾,25342,拾,25342,shi/shí/shè/jiè,4,1961,7497,96.98109938
首,39318,首,39318,shǒu,4,481,85036,74.98666048
售,21806,售,21806,shòu/shú,4,1114,25405,90.79288162
货,36135,貨,36008,huò,4,818,42602,85.68984754
输,36755,輸,36664,shū,4,939,34688,88.10057164
熟,29087,熟,29087,shú/shóu,4,1035,29271,89.686948
悉,24713,悉,24713,xī,4,1428,15234,94.0101559
帅,24069,帥,24101,shuài,4,1888,8249,96.68370039
顺,39034,順,38918,shùn,4,938,34708,88.0826454
序,24207,序,24207,xù,4,836,41129,86.08038981
硕,30805,碩,30889,shuò,4,2304,4819,98.04938417
死,27515,死,27515,sǐ,4,317,136194,65.86470726
度,24230,度,24230,dù/du/duó/zhái,4,184,214376,54.0641492
塑,22609,塑,22609,sù,4,2038,6744,97.26290696
袋,34955,袋,34955,dài/dai,4,1310,18381,92.98399116
酸,37240,酸,37240,suān,4,1456,14855,94.22776327
随,38543,隨,38568,suí,4,498,82599,75.7204406
孙,23385,孫,23403,sūn/xùn,4,995,31506,89.05990986
台,21488,台,21488,tái,4,388,109362,70.33563768
抬,25260,擡,25825,tái,4,1386,16315,93.66919968
态,24577,態,24907,tài,4,528,77219,76.95900402
谈,35848,談,35527,tán,4,474,86089,74.67660026
弹,24377,彈,24392,dàn/tán/tan,4,632,63417,80.71922672
钢,38050,鋼,37628,gāng/gàng,4,1609,11738,95.27085272
琴,29748,琴,29748,qín,4,1701,10383,95.79570022
汤,27748,湯,28271,tāng,4,1618,11620,95.32510534
糖,31958,糖,31958,táng,4,1746,9757,96.02985557
躺,36538,躺,36538,tǎng,4,1608,11745,95.2647867
趟,36255,趟,36255,"tàng, tāng",4,2457,3879,98.39354395
讨,35752,討,35342,tǎo,4,833,41717,86.01648468
论,35770,論,35542,lùn/lún,4,205,197165,56.291443
厌,21388,厭,21421,yàn/yā/yǎn/yān/yì,4,1633,11376,95.41415414
供,20379,供,20379,gōng/gòng,4,550,74168,77.82120266
醒,37266,醒,37266,xǐng/chéng/jīng,4,1075,26899,90.26717884
填,22635,填,22635,tián/tiǎn/chén/zhèn,4,1970,7401,97.0156413
停,20572,停,20572,tíng,4,693,54453,82.5780491
挺,25402,挺,25402,tǐng,4,1467,14615,94.31149021
推,25512,推,25512,tuī,4,505,80933,76.01622929
脱,33073,脫,33067,tuō,4,943,34548,88.172104
袜,34972,襪,35178,wà,4,3045,1790,99.2204074
危,21361,危,21361,wēi,4,826,42080,85.86516896
险,38505,險,38570,xiǎn/jiǎn/yán,4,672,58047,81.97164826
卫,21355,衛,34907,wèi,4,669,58408,81.88157158
味,21619,味,21619,wèi/mèi,4,844,40704,86.24967519
温,28201,溫,28331,wēn,4,867,39312,86.72577486
章,31456,章,31456,zhāng/zhàng,4,539,76098,77.3940229
污,27745,汙,27737,wū/yú/wā/yū,4,1405,15696,93.82664085
染,26579,染,26579,rǎn,4,1141,24444,91.14001602
无,26080,無,28961,wú,4,105,359265,42.7040378
柿,26623,柿,26623,shì,4,3355,1221,99.45890633
吸,21560,吸,21560,xī,4,924,35891,87.82787808
引,24341,引,24341,yǐn,4,479,85740,74.89853673
咸,21688,鹹,40569,xián,4,2525,3627,98.52515
羡,32673,羨,32680,xiàn,4,2732,2739,98.86073012
慕,24917,慕,24917,mù,4,1990,7165,97.09089865
详,35814,詳,35443,xiáng/yáng,4,1439,15099,94.09623939
细,32454,細,32048,xì,4,597,67915,79.53161572
橡,27233,橡,27233,xiàng,4,2871,2251,99.03959255
消,28040,消,28040,xiāo,4,439,96263,73.03293258
伙,20249,夥,22821,huǒ,4,1047,28724,89.86647399
效,25928,效,25928,xiào,4,551,74009,77.85944941
辛,36763,辛,36763,xīn,4,1463,14713,94.28123244
封,23553,封,23553,fēng/biǎn,4,871,38954,86.80647396
奋,22859,奮,22894,fèn,4,1268,19499,92.57397539
幸,24184,幸,24184,xìng/niè,4,902,37198,87.41449855
福,31119,福,31119,fú/fù,4,683,55871,82.29399712
性,24615,性,24615,xìng/xing,4,122,309844,45.59586251
修,20462,修,20462,xiū,4,740,49829,83.84028491
许,35768,許,35377,xǔ/hǔ,4,263,166034,61.72080106
压,21387,壓,22739,yā/yà,4,756,48038,84.24370082
呀,21568,呀,21568,ya,4,929,35343,87.91968961
膏,33167,膏,33167,gāo/gào,4,2673,2958,98.77395569
亚,20122,亞,20126,yà/yā/è,4,420,100251,72.06934587
洲,27954,洲,27954,zhōu,4,701,53429,82.80103
严,20005,嚴,22196,yán/yǎn,4,545,75278,77.6288051
研,30740,研,30740,yán/yàn/xíng,4,447,93761,73.42498697
盐,30416,鹽,40573,yán,4,1885,8266,96.67090272
养,20859,養,39178,yǎng/yàng,4,760,47702,84.34250755
邀,36992,邀,36992,yāo,4,1854,8484,96.53713392
钥,38053,鑰,38000,yào/yuè,4,2481,3772,98.44103082
匙,21273,匙,21273,shi/chí,4,2476,3809,98.43122792
叶,21494,葉,33865,yè/shè,4,920,36032,87.75351373
页,39029,頁,38913,yè,4,1128,24861,90.97453315
切,20999,切,20999,qiè/qiē/qì,4,337,126391,67.22313229
艺,33402,藝,34269,yì,4,786,45218,84.96782429
此,27492,此,27492,cǐ,4,116,318534,44.62194733
象,35937,象,35937,xiàng,4,300,143453,64.64150269
赢,36194,贏,36111,yíng,4,1836,8657,96.45740173
聘,32856,聘,32856,pìn/pìng,4,2253,5148,97.9179962
永,27704,永,27704,yǒng,4,842,40936,86.20760216
勇,21191,勇,21191,yǒng,4,1206,21819,91.91714097
优,20248,優,20778,yōu,4,774,46613,84.6839046
秀,31168,秀,31168,xiù,4,1136,24620,91.07665919
幽,24189,幽,24189,yōu,4,1636,11319,95.43173104
默,40664,默,40664,mò,4,1031,29432,89.62628518
尤,23588,尤,23588,yóu,4,1099,25908,90.59420926
由,30001,由,30001,yóu,4,136,292199,47.75544971
局,23616,局,23616,jú,4,483,84587,75.07410415
谊,35850,誼,35516,yì,4,2136,5902,97.58285536
愉,24841,愉,24841,yú/tōu/yǔ,4,1982,7259,97.06111632
与,19982,與,33287,yǔ,4,108,345532,43.24709681
羽,32701,羽,32701,yǔ/hù,4,1865,8366,96.58508021
言,35328,言,35328,yán/yàn/yín,4,355,120308,68.36605067
预,39044,預,38928,yù,4,647,61534,81.20218258
原,21407,原,21407,yuán,4,193,207579,55.04129687
谅,35845,諒,35538,liàng/liáng,4,2120,6024,97.53356181
阅,38405,閱,38321,yuè,4,1489,14067,94.47426254
云,20113,雲,38642,yún,4,692,54510,82.5499086
允,20801,允,20801,yǔn/yuán,4,1443,15027,94.12734623
志,24535,志,24535,zhì,4,542,75904,77.51180081
咱,21681,咱,21681,zán/zan/zá/zǎ,4,1265,19554,92.54372796
暂,26242,暫,26283,zàn,4,1325,17968,93.12422856
脏,33039,髒,39634,zāng,4,1634,11350,95.42001965
增,22686,增,22686,zēng/zèng/céng,4,446,93869,73.37653268
占,21344,占,21344,zhàn/zhān/tiē,4,737,49980,83.76298212
线,32447,線,32218,xiàn,4,430,98261,72.58103447
整,25972,整,25972,zhěng,4,416,100910,71.86136776
式,24335,式,24335,shì/shi/tè,4,303,142292,64.86276631
支,25903,支,25903,zhī/zhì/qí,4,437,96814,72.93340544
值,20540,值,20540,zhí,4,600,67732,79.63677633
职,32844,職,32887,zhí/tè,4,616,65272,80.18730236
植,26893,植,26893,zhí,4,1124,24999,90.92311251
指,25351,指,25351,zhǐ,4,261,166865,61.54918809
质,36136,質,36074,zhì,4,404,104560,71.22201463
围,22260,圍,22285,wéi,4,576,69641,78.7848457
祝,31069,祝,31069,zhù/zhòu/chù,4,1651,11144,95.51862277
贺,36154,賀,36032,hè,4,1690,10507,95.73631127
专,19987,專,23560,zhuān/tuán/shuàn,4,485,84361,75.16135556
转,36716,轉,36681,"zhuǎn, zhuàn",4,376,115087,69.64016995
赚,36186,賺,36090,zhuàn,4,2182,5630,97.72002305
仔,20180,仔,20180,zǐ/zī/zǎi,4,1572,12428,95.041581
尊,23562,尊,23562,zūn,4,1134,24662,91.05120649
座,24231,座,24231,zuò,4,812,42814,85.5574384
哎,21710,哎,21710,āi,5,2294,4887,98.02426428
唉,21769,唉,21769,ài,5,2091,6269,97.44116269
慰,24944,慰,24944,wèi,5,1632,11379,95.40827519
装,35013,裝,35037,zhuāng,5,467,88143,74.36165796
岸,23736,岸,23736,àn,5,971,32807,88.66132382
暗,26263,暗,26263,àn,5,829,41881,85.93020689
熬,29100,熬,29100,áo/āo,5,2705,2841,98.82180431
夜,22812,夜,22812,yè,5,665,58839,81.76059941
握,25569,握,25569,wò/òu,5,1032,29418,89.64148796
摆,25670,擺,25850,bǎi,5,1158,23853,91.35175581
傍,20621,傍,20621,bàng/páng/bēng/péng,5,2558,3444,98.58550637
裹,35065,裹,35065,guǒ,5,2387,4322,98.24536047
含,21547,含,21547,hán/hàn,5,937,34759,88.06470882
括,25324,括,25324,kuò,5,850,40519,86.37552787
薄,34180,薄,34180,báo,5,1433,15150,94.04933907
宝,23453,寶,23542,bǎo,5,811,42836,85.53531276
贝,36125,貝,35997,bèi,5,1133,24675,91.03846154
怨,24616,怨,24616,yuàn/yuan/yùn,5,1637,11305,95.43757329
背,32972,背,32972,bēi,5,787,45181,84.99117315
悲,24754,悲,24754,bēi,5,1166,23500,91.44948039
领,39046,領,38936,lǐng,5,329,130993,66.69495721
彼,24444,彼,24444,bǐ,5,1256,20021,92.45180273
避,36991,避,36991,bì,5,991,31731,88.99454171
编,32534,編,32232,biān/biǎn/biàn,5,858,39879,86.54166654
辑,36753,輯,36655,ji/jí,5,1362,17169,93.46117092
鞭,38829,鞭,38829,biān,5,2250,5176,97.90999017
炮,28846,炮,28846,pào/páo/bāo,5,914,36315,87.64138272
辩,36777,辯,36783,biàn/pián/biǎn/bàn,5,1355,17459,93.39866266
达,36798,達,36948,dá/dā/tà,5,289,147907,63.81502993
凌,20940,淩,28137,líng,5,1731,9999,95.95339514
毒,27602,毒,27602,dú/dài,5,947,34517,88.24347668
玻,29627,玻,29627,bō,5,1769,9447,96.14376018
璃,29827,璃,29827,lí,5,1894,8176,96.70912932
脖,33046,脖,33046,bó/bō,5,2175,5682,97.69958472
补,34917,補,35036,bǔ,5,944,34542,88.18995479
充,20805,充,20805,chōng,5,690,54812,82.49351391
布,24067,布,24067,bù,5,380,113652,69.8762803
骤,39588,驟,39519,zhòu,5,2045,6688,97.28715556
财,36130,財,36001,cái,5,680,56037,82.20729091
产,20135,産,29987,chǎn,5,159,265164,51.02328056
采,37319,采,37319,cǎi/cài,5,585,68946,79.10726846
访,35775,訪,35370,fǎng,5,1037,29134,89.71708381
虹,34425,虹,34425,hóng/hòng/gòng,5,2176,5670,97.70251489
踩,36393,踩,36393,cǎi,5,2570,3343,98.60649819
惭,24813,慚,24922,cán,5,2943,2062,99.1195666
愧,24871,愧,24871,kuì,5,2275,5008,97.97570663
操,25805,操,25805,cāo,5,1173,23193,91.53395151
册,20876,冊,20874,cè,5,1525,13462,94.73012803
测,27979,測,28204,cè,5,861,39752,86.60337637
曾,26366,曾,26366,céng/zēng,5,463,89328,74.17867778
叉,21449,叉,21449,chā/chá/chǎ/chà,5,2231,5299,97.85859537
插,25554,插,25554,chā,5,1495,13938,94.51757482
拆,25286,拆,25286,chāi,5,2076,6412,97.39207069
品,21697,品,21697,pǐn,5,308,138528,65.22511021
途,36884,途,36884,tú,5,1085,26485,90.40483697
抄,25220,抄,25220,chāo,5,2213,5433,97.80861243
朝,26397,朝,26397,cháo,5,593,68380,79.39087446
潮,28526,潮,28526,cháo,5,1302,18532,92.90770386
湿,28287,濕,28629,shī/tà/xí,5,1743,9783,96.01472048
吵,21557,吵,21557,chǎo,5,2040,6709,97.26984791
架,26550,架,26550,jià,5,846,40619,86.29168982
炒,28818,炒,28818,chǎo,5,2590,3260,98.64070833
库,24211,庫,24235,kù,5,1097,25924,90.56742532
厢,21410,廂,24258,xiāng,5,2467,3837,98.4134531
彻,24443,徹,24505,chè,5,1240,20461,92.28480052
沉,27785,沈,27784,chén/shěn/tán,5,747,48772,84.01861092
趁,36225,趁,36225,chèn,5,2109,6154,97.49886175
称,31216,稱,31281,chēng,5,449,93638,73.52180563
赞,36190,贊,36106,zàn,5,1179,22909,91.60534279
立,31435,立,31435,lì/wèi,5,197,204985,55.46633455
恳,24691,懇,25031,kěn,5,2265,5081,97.9496958
承,25215,承,25215,chéng/zhěng/zhèng,5,639,62285,80.94636154
亏,20111,虧,34407,kuī,5,1738,9884,95.98936442
池,27744,池,27744,chí/tuó/chè,5,1709,10289,95.83839494
塘,22616,塘,22616,táng,5,2436,4033,98.35073089
尺,23610,尺,23610,chǐ/chě,5,1474,14422,94.36373409
翅,32709,翅,32709,chì,5,2066,6524,97.3587303
膀,33152,膀,33152,bǎng/páng/pāng/bàng/pǎng,5,1941,7731,96.90229843
冲,20914,沖,27798,chōng,5,702,53378,82.82861496
器,22120,器,22120,qì,5,441,95444,73.13169073
宠,23456,寵,23541,chǒng/lóng,5,2422,4108,98.3212793
屉,23625,屜,23644,ti/tì,5,3127,1612,99.29221108
丑,19985,醜,37276,chǒu,5,1901,8067,96.73842328
臭,33261,臭,33261,chòu,5,2105,6166,97.4861261
版,29256,版,29256,bǎn,5,810,42853,85.51317575
席,24109,席,24109,xí,5,894,37579,87.25987747
初,21021,初,21021,chū,5,667,58587,81.82118161
夕,22805,夕,22805,xī/yì,5,2003,7025,97.138462
统,32479,統,32113,tǒng,5,264,165820,61.80649437
帘,24088,簾,31806,lián,5,2458,3875,98.39554649
闯,38383,闖,38358,chuǎng,5,2129,5954,97.56141808
创,21019,創,21109,chuàng/chuāng/qiāng,5,635,63156,80.81718334
造,36896,造,36896,zào/cào/cāo,5,354,120496,68.30387729
吹,21561,吹,21561,chuī,5,1390,16180,93.70273955
汇,27719,彙,24409,huì,5,1187,22608,91.69936461
辞,36766,辭,36781,cí,5,1469,14439,94.32645166
刺,21050,刺,21050,cì/qì/cī,5,1058,27891,90.02696678
匆,21254,匆,21254,cōng,5,1622,11540,95.34902526
糙,31961,糙,31961,cāo,5,3118,1631,99.2846748
促,20419,促,20419,cù/chuò,5,1102,25792,90.63428853
醋,37259,醋,37259,cù,5,3076,1712,99.24837168
催,20652,催,20652,cuī,5,2064,6538,97.35198108
措,25514,措,25514,cuò/zé/cì,5,1148,24172,91.2279129
施,26045,施,26045,shī/yì/shǐ,5,553,73861,77.93582405
喷,21943,噴,22132,pēn/pèn/fèn,5,1729,10027,95.94306047
嚏,22159,嚏,22159,tì,5,3897,631,99.70953213
厦,21414,廈,24264,shà/xià,5,2264,5083,97.94707002
型,22411,型,22411,xíng,5,556,73216,78.04937363
呆,21574,呆,21574,dāi,5,1338,17746,93.24416354
代,20195,代,20195,dài,5,174,231734,52.92042773
替,26367,替,26367,tì,5,1079,26687,90.32256426
贷,36151,貸,36024,dài/tè,5,1605,11793,95.24653488
待,24453,待,24453,dài/dāi,5,673,57757,82.00149622
纯,32431,純,32020,chún/zhǔn/tún/quán/zī/zhūn,5,1125,24890,90.93597529
独,29420,獨,29544,dú,5,627,64201,80.55480688
耽,32829,耽,32829,dān,5,2658,3005,98.75085643
胆,32966,膽,33213,dǎn,5,1352,17486,93.37158725
鬼,39740,鬼,39740,guǐ,5,1042,28916,89.79199026
淡,28129,淡,28129,dàn,5,1293,18779,92.82103848
挡,25377,擋,25803,dǎng,5,1933,7851,96.87006189
致,33268,致,33268,zhì/zhuì,5,524,78238,76.79862699
岛,23707,島,23798,dǎo,5,798,44056,85.2437059
屿,23679,嶼,23996,yǔ/xù,5,2636,3098,98.71617446
霉,38665,黴,40692,méi/mèi,5,2425,4098,98.32763628
德,24503,德,24503,dé,5,256,168917,61.11500227
滴,28404,滴,28404,dī,5,1896,8104,96.71752604
敌,25932,敵,25973,dí,5,523,78620,76.75819476
毯,27631,毯,27631,tǎn,5,2711,2827,98.83059017
震,38663,震,38663,zhèn/shēn,5,1104,25746,90.6609102
递,36882,遞,36958,dì,5,1538,13012,94.81893652
钓,38035,釣,37347,diào,5,2305,4813,98.05187146
顶,39030,頂,38914,dǐng,5,1000,31318,89.14101722
冻,20923,凍,20941,dòng,5,2127,5984,97.55526368
洞,27934,洞,27934,dòng,5,1015,30399,89.37990166
豆,35910,豆,35910,dòu,5,1793,9179,96.25931178
腐,33104,腐,33104,fǔ/fu,5,1576,12264,95.06704145
逗,36887,逗,36887,dòu,5,2587,3271,98.63564383
堆,22534,堆,22534,duī,5,1370,16920,93.53164129
兑,20817,兌,20812,duì,5,2424,4101,98.32551849
吨,21544,噸,22136,dūn,5,1700,10403,95.79033444
蹲,36466,蹲,36466,dūn,5,2497,3720,98.47203741
顿,39039,頓,38931,dùn,5,794,44425,85.15237601
余,20313,余,20313,yú/tú/xú/yù,5,729,50601,83.55533165
躲,36530,躲,36530,duǒ,5,1644,11201,95.47824325
藏,34255,藏,34255,cáng/zàng/zāng,5,907,36704,87.50953481
恶,24694,惡,24801,è/wù/wū/ě/hū,5,792,44493,85.10643381
劣,21155,劣,21155,liè,5,1902,8067,96.74259219
愁,24833,愁,24833,chóu/qiǎo/jiū,5,2113,6135,97.51155193
抖,25238,抖,25238,dǒu,5,1757,9584,96.08479344
挥,25381,揮,25582,huī/hún,5,742,49702,83.89170761
罚,32602,罰,32624,fá,5,1215,21011,92.01633219
繁,32321,繁,32321,fán/pán/pó,5,1296,18699,92.85003581
荣,33635,榮,27054,róng,5,993,31662,89.02727333
映,26144,映,26144,yìng/yǎng,5,1316,18102,93.04036881
范,33539,範,31684,fàn,5,705,53033,82.91093108
妨,22952,妨,22952,fáng/fāng,5,1873,8311,96.61953428
碍,30861,礙,31001,ài/yí,5,1437,15121,94.08062369
仿,20223,仿,20223,fǎng/páng,5,1259,19870,92.48263052
佛,20315,佛,20315,fú/bó/bì/fó,5,771,47038,84.6114322
皂,30338,皂,30338,zào,5,3087,1691,99.25803763
废,24223,廢,24290,fèi,5,1376,16754,93.5838216
配,37197,配,37197,pèi,5,738,49900,83.7887697
析,26512,析,26512,xī/sī,5,1073,27019,90.23933601
纷,32439,紛,32027,fēn,5,1181,22820,91.62893661
斗,26007,鬥,39717,dòu,5,580,69456,78.928513
俗,20439,俗,20439,sú,5,1354,17463,93.38964011
疯,30127,瘋,30219,fēng,5,1549,12771,94.8919624
狂,29378,狂,29378,kuáng/jué,5,1147,24259,91.21542117
讽,35773,諷,35575,fěng/fèng,5,2322,4713,98.09378118
扶,25206,扶,25206,fú,5,1612,11659,95.28900377
幅,24133,幅,24133,fú,5,1444,15021,94.13510886
辅,36741,輔,36628,fǔ,5,2033,6782,97.24541792
妇,22919,婦,23142,fù/fu,5,932,35188,87.97432671
制,21046,制,21046,zhì,5,163,250754,51.54851772
革,38761,革,38761,gé/jí,5,521,78685,76.67692099
善,21892,善,21892,shàn,5,749,48739,84.06899127
盖,30422,蓋,33995,gài,5,1052,28310,89.94005954
念,24565,念,24565,niàn,5,477,85953,74.80987191
脆,33030,脆,33030,cuì,5,1976,7336,97.03850181
燥,29157,燥,29157,zào/sào,5,2613,3171,98.67891787
档,26723,檔,27284,dàng/dāng,5,1787,9248,96.2307563
搞,25630,搞,25630,gǎo,5,1146,24265,91.20288448
隔,38548,隔,38548,gé/rǒng/jī,5,1319,18056,93.06838786
壁,22721,壁,22721,bì,5,1380,16588,93.61828445
厂,21378,廠,24288,chǎng,5,963,33468,88.52448532
寓,23507,寓,23507,yù,5,2199,5519,97.76894555
恭,24685,恭,24685,gōng,5,1742,9787,96.00966477
贡,36129,貢,36002,gòng,5,1548,12785,94.88536254
献,29486,獻,29563,xiàn/suō/xī,5,1192,22396,91.75738459
沟,27807,溝,28317,gōu/gǎng/kòu,5,1610,11735,95.2769172
构,26500,構,27083,gòu/jué,5,511,80364,76.26585511
姑,22993,姑,22993,gū/gu,5,994,31647,89.04362802
娘,23064,娘,23064,niang/niáng,5,881,38274,87.00533805
古,21476,古,21476,gǔ/gù/kū,5,509,80454,76.18277983
股,32929,股,32929,gǔ/gu,5,644,61861,81.10658818
骨,39592,骨,39592,gǔ/gú/gū,5,1036,29180,89.70202779
掌,25484,掌,25484,zhǎng/zhang,5,890,37729,87.18212404
固,22266,固,22266,gù,5,893,37582,87.2404572
乖,20054,乖,20054,guāi,5,2470,3828,98.41939044
拐,25296,拐,25296,guǎi,5,2232,5282,97.86132503
弯,24367,彎,24398,wān,5,1662,10917,95.58138788
闭,38381,閉,38281,bì,5,1267,19515,92.5638986
官,23448,官,23448,guān,5,432,97897,72.68230058
冠,20896,冠,20896,guān/guàn,5,1713,10217,95.85959605
军,20891,軍,36557,jūn,5,102,362526,42.14566645
滑,28369,滑,28369,huá/hua/gǔ,5,1480,14303,94.4082665
临,20020,臨,33256,lín/lìn,5,839,41068,86.14408617
泛,27867,泛,27867,fàn/fěng/fá,5,1327,17928,93.14276616
归,24402,歸,27512,guī/kuì/kuí,5,933,35153,87.99249326
纳,32435,納,32013,nà,5,684,55597,82.32272882
矩,30697,矩,30697,ju/jǔ,5,2160,5766,97.65516962
模,27169,模,27169,mó/mú,5,689,54891,82.46518788
柜,26588,櫃,27331,guì,5,1994,7101,97.10562393
滚,28378,滾,28414,gǔn,5,1542,12863,94.84559954
锅,38149,鍋,37707,guō,5,2074,6416,97.38544292
庆,24198,慶,24950,qìng/qīng/qiāng,5,1269,19487,92.58404598
王,29579,王,29579,wáng/wàng/yù,5,299,143948,64.56736831
敏,25935,敏,25935,mǐn,5,1436,15135,94.07280938
哈,21704,哈,21704,hā,5,713,52475,83.12899477
喊,21898,喊,21898,hǎn,5,1183,22779,91.65248135
豪,35946,豪,35946,háo,5,1513,13680,94.64600472
华,21326,華,33775,huá/huā/huà/kuā,5,412,103158,71.65056593
核,26680,核,26680,hé/gāi/kài,5,828,41944,85.90856341
恨,24680,恨,24680,hèn,5,1295,18702,92.84037244
猴,29492,猴,29492,hóu,5,2187,5582,97.73453386
忽,24573,忽,24573,hū,5,912,36378,87.60383001
胡,32993,胡,32993,hú,5,806,43199,85.42434349
壶,22774,壺,22778,hú,5,2518,3652,98.51198697
蝴,34676,蝴,34676,hú,5,2964,1991,99.14145659
蝶,34678,蝶,34678,dié/tiē,5,2306,4811,98.05435771
糊,31946,糊,31946,hu/hú/hū/hù,5,1393,16098,93.72773334
涂,28034,塗,22615,tú/dù,5,1735,9949,95.97399316
裔,35028,裔,35028,yì,5,2842,2350,99.00519947
孕,23381,孕,23381,yùn,5,2094,6256,97.45086482
缓,32531,緩,32233,huǎn,5,1111,25455,90.75345919
幻,24187,幻,24187,huàn,5,1417,15371,93.92321197
慌,24908,慌,24908,huāng/huang/huǎng,5,1650,11149,95.51286372
灰,28784,灰,28784,huī,5,1311,18298,92.9934473
尘,23576,塵,22645,chén,5,1718,10137,95.88586062
恢,24674,恢,24674,huī,5,1364,17123,93.47888425
率,29575,率,29575,lǜ/shuài/lüe,5,625,64453,80.48832815
姻,23035,姻,23035,yīn,5,2007,6998,97.15294697
跃,36291,躍,36493,yuè/tì,5,1516,13645,94.66718309
柴,26612,柴,26612,chái/cī/zhài/zì,5,1981,7276,97.05736498
伴,20276,伴,20276,bàn/pàn,5,1298,18678,92.86934393
肌,32908,肌,32908,jī/jì,5,1935,7830,96.87815578
烈,28872,烈,28872,liè,5,802,43751,85.33448696
诊,35786,診,35386,zhěn,5,1401,15931,93.79400845
集,38598,集,38598,jí,5,406,104019,71.32959379
录,24405,錄,37636,lù,5,919,36080,87.73489293
寂,23490,寂,23490,jì,5,1739,9875,95.99446767
寞,23518,寞,23518,mò,5,2601,3217,98.6591002
夹,22841,夾,22846,jiā/jiá/xié/xiá/gā,5,1758,9574,96.08974114
庭,24237,庭,24237,tíng,5,931,35205,87.95614208
乡,20065,鄉,37129,xiāng/xiǎng/xiàng,5,922,36025,87.79074913
嘉,22025,嘉,22025,jiā,5,1845,8576,96.4974872
甲,30002,甲,30002,jiǎ,5,1106,25620,90.68744712
设,35774,設,35373,shè,5,302,142742,64.78923192
驾,39550,駕,39381,jià/jiā,5,1567,12492,95.00941267
驶,39542,駛,39387,shǐ,5,1520,13537,94.6952409
嫁,23233,嫁,23233,jià,5,2063,6539,97.34860234
强,24378,強,24375,qiáng/qiǎng,5,292,146665,64.04339935
肩,32937,肩,32937,jiān/xián,5,1415,15528,93.90731669
艰,33392,艱,33393,jiān,5,1647,11164,95.49557002
巨,24040,巨,24040,jù/qú,5,913,36351,87.62261567
兼,20860,兼,20860,jiān,5,1515,13656,94.66013155
捡,25441,撿,25791,jiǎn,5,2753,2653,98.88999152
剪,21098,剪,21098,jiǎn,5,2227,5324,97.8476204
筑,31569,築,31689,yuán/zhú,5,1130,24780,91.00015329
酱,37233,醬,37292,jiàng,5,3100,1668,99.2693268
浇,27975,澆,28550,jiāo,5,2866,2265,99.03375701
胶,33014,膠,33184,jiāo/jiǎo/háo/nǎo,5,2170,5721,97.68486616
狡,29409,狡,29409,jiǎo/xiào,5,2670,2971,98.76936095
猾,29502,猾,29502,huá,5,3083,1697,99.25453641
训,35757,訓,35347,xun/xùn,5,1022,29911,89.48873713
阶,38454,階,38542,jiē,5,745,49058,83.96815512
触,35302,觸,35320,chù,5,1207,21719,91.92836502
账,36134,賬,36076,zhàng,5,2179,5652,97.71128525
戒,25106,戒,25106,jiè,5,1566,12510,95.00295699
届,23626,屆,23622,jiè,5,1522,13521,94.70922201
属,23646,屬,23660,shǔ/zhǔ,5,610,66374,79.98305441
谨,35880,謹,35641,jǐn,5,1917,7960,96.80467359
慎,24910,慎,24910,shèn/zhèn,5,1765,9479,96.12419779
营,33829,營,29151,yíng/cuō,5,536,76372,77.27588633
神,31070,神,31070,shén/shen/shēn,5,227,184554,58.44998629
救,25937,救,25937,jiù,5,872,38824,86.82653763
舅,33285,舅,33285,jiù/jiu,5,2375,4385,98.21836723
桔,26708,桔,26708,jú/jié/xié,5,3304,1309,99.42548997
俱,20465,俱,20465,jù/jū,5,1909,8024,96.77167737
捐,25424,捐,25424,juān,5,2235,5273,97.86950729
