Simplified,Unicode (Simp.),Traditional,Unicode (Trad.),Pinyin,HSK Grade,JD Rank,JD Frequency,JD Percentile
坐,22352,坐,22352,zuò,1,611,66293,80.01731365
做,20570,做,20570,zuò,1,246,175580,60.22750546
吧,21543,吧,21543,ba,2,470,87536,74.49770733
白,30333,白,30333,bái,2,286,148728,63.58504814
百,30334,百,30334,bǎi,2,407,103938,71.3833074
帮,24110,幫,24171,bāng,2,769,47065,84.56281357
助,21161,助,21161,zhù/chú,2,607,66867,79.87992528
报,25253,報,22577,bào/fù,2,234,182411,59.11384331
纸,32440,紙,32025,zhǐ,2,1020,30001,89.45779824
比,27604,比,27604,bǐ,2,199,200645,55.67476227
别,21035,別,21029,bié,2,222,186634,57.97150372
宾,23486,賓,36051,bīn,2,1534,13149,94.79188851
馆,39302,館,39208,guǎn,2,1011,30564,89.31687765
长,38271,長,38263,"cháng, zhǎng",2,109,342148,43.42391381
唱,21809,唱,21809,chàng,2,1252,20085,92.41035398
歌,27468,歌,27468,gē/ge,2,1040,28957,89.76209838
穿,31359,穿,31359,chuān,2,785,45314,84.9444563
次,27425,次,27425,cì,2,183,214857,53.95336287
从,20174,從,24478,cóng,2,98,369958,41.3892987
错,38169,錯,37679,cuò,2,638,62401,80.91417358
篮,31726,籃,31811,lán,2,2357,4490,98.17732622
球,29699,球,29699,qiú,2,628,63913,80.58783617
到,21040,到,21040,dào,2,22,965035,20.72240743
得,24471,得,24471,de,2,39,630688,27.15126463
等,31561,等,31561,děng,2,158,266296,50.88624775
弟,24351,弟,24351,dì/di/tì/tuí,2,816,42706,85.64577145
第,31532,第,31532,dì,2,114,325780,44.29267252
懂,25026,懂,25026,dǒng,2,1211,21117,91.97276307
房,25151,房,25151,fáng/páng,2,512,80320,76.30736329
间,38388,間,38291,jiān/jian/jiàn/jiǎn,2,135,292227,47.60444561
非,38750,非,38750,fēi/fěi,2,283,149915,63.35417025
常,24120,常,24120,cháng,2,187,212309,54.39363228
务,21153,務,21209,wu/wù/wǔ/wú/máo/mào,2,245,176085,60.13676832
员,21592,員,21729,yuán/yún/yùn,2,200,200217,55.77823144
告,21578,告,21578,gào/jū/gù,2,310,138285,65.36815013
诉,35785,訴,35380,su/sù,2,595,68147,79.46133449
哥,21733,哥,21733,gē/ge,2,804,43620,85.3796085
给,32473,給,32102,gěi,2,180,217815,53.62012431
公,20844,公,20844,gōng,2,115,318626,44.4573337
共,20849,共,20849,gòng/gōng/gǒng/hóng,2,330,128824,66.76153154
汽,27773,汽,27773,qì/gài/yǐ,2,1200,22098,91.84917132
司,21496,司,21496,sī/cí/sì,2,278,155229,62.9608301
贵,36149,貴,36020,guì,2,873,38668,86.84652068
过,36807,過,36942,guò,2,46,589925,29.36855037
还,36824,還,36996,hái,2,80,415855,37.74541622
孩,23401,孩,23401,hái,2,533,76620,77.15739215
黑,40657,黑,40657,hēi,2,519,78896,76.59549529
红,32418,紅,32005,hóng,2,502,81852,75.89027221
火,28779,火,28779,huǒ/huō,2,433,97760,72.7328215
站,31449,站,31449,zhàn/zhān,2,544,75402,77.58990255
场,22330,場,22580,chǎng/cháng/shāng/dàng,2,249,173632,60.49833601
鸡,40481,雞,38622,jī,2,1391,16164,93.71109286
蛋,34507,蛋,34507,dàn,2,1387,16305,93.67762586
件,20214,件,20214,jiàn,2,250,172895,60.58768557
教,25945,教,25945,jiào/jiāo,2,191,208875,54.82662122
室,23460,室,23460,shì,2,708,52846,82.99298106
介,20171,介,20171,jiè/gè,2,831,41749,85.97336413
绍,32461,紹,32057,shào/chāo,2,1234,20681,92.22115481
进,36827,進,36914,jìn,2,81,412166,37.95841748
近,36817,近,36817,jìn,2,374,115441,69.5210856
就,23601,就,23601,jiù,2,27,771108,22.89355356
咖,21654,咖,21654,kā/jiā/gā,2,2379,4366,98.22740115
啡,21857,啡,21857,fēi/pèi/pái/bài/pēi,2,2326,4688,98.10350656
始,22987,始,22987,shǐ,2,381,112987,69.9346703
考,32771,考,32771,kǎo,2,495,82688,75.59235075
试,35797,試,35430,shì,2,643,61912,81.07461934
可,21487,可,21487,kě/gē/kè,2,30,723108,24.03732929
以,20197,以,20197,yǐ/sì,2,23,910627,21.19300593
课,35838,課,35506,kè,2,1208,21705,91.93958184
快,24555,快,24555,kuài,2,366,116923,69.04063615
乐,20048,樂,27138,lè/yuè/yào/luò/liáo,2,619,64965,80.28811371
累,32047,累,32047,lèi,2,1323,18017,93.10565582
离,31163,離,38626,lí,2,418,100744,71.96550771
两,20004,兩,20841,liǎng,2,133,294600,47.3017289
零,38646,零,38646,líng,2,1342,17675,93.2807633
路,36335,路,36335,lù,2,305,141812,65.00955551
旅,26053,旅,26053,lǚ,2,950,34384,88.29687092
游,28216,游,28216,yóu/liú,2,695,54262,82.63422106
游,28216,遊,36938,yóu,4,695,54262,82.63422106
卖,21334,賣,36067,mài,2,974,32694,88.71207832
慢,24930,慢,24930,màn,2,822,42506,85.77776561
忙,24537,忙,24537,máng,2,827,42026,85.88688737
每,27599,每,27599,měi,2,359,119594,68.61391064
妹,22969,妹,22969,mèi/mei,2,1185,22723,91.67598163
门,38376,門,38272,mén,2,185,212769,54.17410506
条,26465,條,26781,tiáo/tiāo,2,214,191280,57.18789364
男,30007,男,30007,nán,2,602,67405,79.70648806
您,24744,您,24744,nín,2,726,51094,83.4767183
牛,29275,牛,29275,niú,2,1018,30047,89.42679009
奶,22902,奶,22902,nǎi/nai,2,1278,19219,92.67402447
旁,26049,旁,26049,páng/pēng/bēng/bàng,2,981,32268,88.82943971
边,36793,邊,37002,biān/bian,2,316,136277,65.79432423
跑,36305,跑,36305,pǎo/páo/bó,2,864,39497,86.66472497
步,27493,步,27493,bù,2,349,121267,67.99186413
便,20415,便,20415,biàn/pián/biān,2,271,159479,62.39396228
宜,23452,宜,23452,yi/yí,2,1290,18833,92.79188198
票,31080,票,31080,piào,2,910,36459,87.56619669
妻,22971,妻,22971,qī/qì,2,1076,26847,90.28105298
床,24202,床,24202,chuáng,2,1068,27283,90.169277
千,21315,千,21315,qiān,2,599,67843,79.60177344
铅,38085,鉛,37467,qiān/yán,2,2641,3075,98.72413967
笔,31508,筆,31558,bǐ,2,956,34057,88.40279379
晴,26228,晴,26228,qíng,2,1968,7405,97.00799029
让,35753,讓,35731,ràng,2,339,125660,67.35324586
日,26085,日,26085,rì,2,101,363763,41.95831841
班,29677,班,29677,bān,2,884,38130,87.0645947
身,36523,身,36523,shēn/juān,2,164,249725,51.67757188
体,20307,體,39636,tǐ/tī,2,149,273792,49.63721735
病,30149,病,30149,bìng,2,427,98692,72.42853893
事,20107,事,20107,shì/shi/zì,2,58,499172,32.66183444
情,24773,情,24773,qíng/qing,2,120,312900,45.27560198
手,25163,手,25163,shǒu/shou,2,143,280442,48.77983412
表,34920,表,34920,biǎo,2,177,226768,53.27615523
送,36865,送,36865,sòng,2,656,60182,81.48450385
虽,34429,雖,38614,suī,2,504,81097,75.97440431
然,28982,然,28982,rán/ran,2,55,511026,31.88029718
但,20294,但,20294,dàn/tǎn/yàn,2,95,374459,40.81482535
它,23427,它,23427,tā,2,107,346173,43.06853101
踢,36386,踢,36386,tī/dié,2,2444,3959,98.36722615
足,36275,足,36275,zú/jù,2,527,77385,76.91909839
题,39064,題,38988,tí,2,218,189921,57.58201672
跳,36339,跳,36339,tiào/diào/táo,2,999,31324,89.12483254
舞,33310,舞,33310,wǔ,2,1144,24360,91.17780386
外,22806,外,22806,wài,2,131,295645,46.99672955
完,23436,完,23436,wán,2,301,143120,64.71546498
玩,29609,玩,29609,wán,2,1072,27043,90.22537299
晚,26202,晚,26202,wǎn,2,641,62142,81.01060878
往,24448,往,24448,wǎng,2,369,116539,69.22164169
为,20026,為,28858,wèi/wéi,2,18,1039036,18.69133901
为,20026,爲,29234,wéi/wèi,4,18,1039036,18.69133901
问,38382,問,21839,wèn,2,137,288237,47.90440631
瓜,29916,瓜,29916,guā,2,1827,8740,96.41699688
希,24076,希,24076,xī,2,508,80460,76.1412024
望,26395,望,26395,wàng/wang,2,326,133145,66.49099865
洗,27927,洗,27927,xǐ,2,1247,20229,92.35828271
笑,31505,笑,31505,xiào,2,346,122902,67.80305151
新,26032,新,26032,xīn,2,161,253921,51.28927349
姓,22995,姓,22995,xìng,2,1149,24142,91.24038913
休,20241,休,20241,xiū/xù,2,1082,26539,90.36374842
息,24687,息,24687,xi/xī,2,428,98447,72.47941487
雪,38634,雪,38634,xuě,2,1003,30997,89.18930872
颜,39068,顏,38991,yán,2,1545,12837,94.86552057
色,33394,色,33394,sè/shǎi,2,304,142231,64.93626918
眼,30524,眼,30524,yǎn/wěn,2,281,152079,63.19847736
睛,30555,睛,30555,jing/jīng/jǐng,2,934,35082,88.01062312
羊,32650,羊,32650,yáng,2,1337,17763,93.23499267
肉,32905,肉,32905,ròu/rù,2,1009,30820,89.28518373
药,33647,藥,34277,yào,2,662,59090,81.66932224
要,35201,要,35201,yào,2,26,811011,22.49505641
也,20063,也,20063,yě,2,31,710259,24.40438059
已,24050,已,24050,yǐ,2,117,318143,44.78635891
经,32463,經,32147,jīng/jing/jìng,2,62,481338,33.67204447
意,24847,意,24847,yì/yi/yī,2,104,360232,42.51837499
思,24605,思,24605,sī/si/sāi,2,298,144503,64.49297813
因,22240,因,22240,yīn,2,96,371612,41.00686891
所,25152,所,25152,suǒ,2,54,523028,31.61620654
阴,38452,陰,38512,yīn,2,987,31936,88.92874772
泳,27891,泳,27891,yǒng,2,2607,3198,98.66903642
右,21491,右,21491,yòu,2,783,45561,84.89757251
鱼,40060,魚,39770,yú,2,852,40452,86.41736266
远,36828,遠,36960,yuǎn,2,386,110455,70.22220696
运,36816,運,36939,yùn,2,345,123903,67.73953758
动,21160,動,21205,dòng,2,73,426839,36.21966599
早,26089,早,26089,zǎo,2,462,89623,74.1325144
丈,19976,丈,19976,zhàng,2,1242,20372,92.30590085
夫,22827,夫,22827,fu/fū/fú,2,377,114784,69.69948862
找,25214,找,25214,zhǎo,2,466,88247,74.31610697
着,30528,著,33879,zhe,2,41,626326,27.80078603
真,30495,真,30495,zhēn,2,204,198416,56.18955106
正,27491,正,27491,zhèng/zheng/zhēng,2,129,296810,46.69088887
知,30693,知,30693,zhī/zhì,2,123,306384,45.75419721
道,36947,道,36947,dào/dao/dǎo,2,52,534695,31.07106231
准,20934,准,20934,zhǔn,2,379,113877,69.81754663
备,22791,備,20633,bèi,2,397,107114,70.83889183
走,36208,走,36208,zǒu,2,207,193619,56.49188122
最,26368,最,26368,zuì,2,139,283689,48.19790977
左,24038,左,24038,zuǒ,2,782,45568,84.87402727
阿,38463,阿,38463,ā/ē/ě/ǎ/à,3,471,87159,74.5427498
姨,23016,姨,23016,yí,3,2287,4928,98.00651478
啊,21834,啊,21834,a,3,753,48244,84.16912873
矮,30702,矮,30702,ǎi,3,2027,6834,97.2242995
安,23433,安,23433,ān,3,232,183210,58.92499504
静,38745,靜,38748,jìng/jing,3,722,51401,83.37092825
把,25226,把,25226,bǎ,3,110,340730,43.59999801
搬,25644,搬,25644,bān,3,1766,9478,96.12909588
办,21150,辦,36774,bàn,3,367,116904,69.1010504
法,27861,法,27861,fǎ/fa,3,65,466816,34.40642457
半,21322,半,21322,bàn,3,513,80183,76.34880067
包,21253,包,21253,bāo,3,454,91240,73.76008699
饱,39281,飽,39165,bǎo,3,1998,7059,97.12026393
方,26041,方,26041,fāng/fang/fáng/fǎng/páng/wǎng/fēng,3,60,492763,33.17436644
